id,agencia,version,nombre
DF_NMIC_EDAD_SEXO,CL01,1.0,Número de personas microemprendedoras por edad y sexo
DF_NMIC_EDU_SEXO,CL01,1.0,Número de personas microemprendedoras por nivel educativo y sexo
DF_NMIC_RAMA_EDAD,CL01,1.0,Número de personas microemprendedoras por rama de actividad económica y edad
DF_NMIC_RAMA_EDU,CL01,1.0,Número de personas microemprendedoras por rama de actividad económica y nivel educativo
DF_NMIC_RAMA_SEXO,CL01,1.0,"Número de personas microemprendedoras por rama de actividad económica y sexo, nacional y regional"
DF_NMIC_SEXO,CL01,1.0,Número de personas microemprendedoras por sexo y región
DF_NOCU_SEXO,CL01,1.0,"Proporción de la fuerza de trabajo ocupada que contribuye al sistema de pensiones: Número de ocupados, según sexo (denominador)"
DF_NP65MAS_SEXO,CL01,1.0,"Porcentaje de población beneficiaria de Pensión Garantizada Universal (PGU): Número de personas de 65 años y más nacional, según sexo (denominador)"
DF_NPEDADJUB_SEXO,CL01,1.0,"Porcentaje de población en edad de jubilación con pensión autofinanciada: Número de personas en edad de jubilación nacional, según sexo (denominador)"
DF_NPENSIONAUTO_SEXO,CL01,1.0,"Porcentaje de población en edad de jubilación con pensión autofinanciada: Número de personas con pensión nacional, según sexo (numerador)"
DF_NPGUM_CONTRIB_SEXO,CL01,1.0,"Número de beneficiarios de Pensión Garantizada Universal (PGU), según tipo de contribución y sexo"
DF_NPGU_SEXO,CL01,1.0,"Porcentaje de población beneficiaria de Pensión Garantizada Universal (PGU): Número de beneficiarios de Pensión Garantizada Universal (PGU) nacional, según sexo (numerador)"
DF_NSOLICSC_RAMA,CL01,1.0,"Número de solicitudes aprobadas del seguro de cesantía nacional, según rama de actividad económica"
DF_NSOLICSC_SEXO,CL01,1.0,"Número de solicitudes aprobadas del seguro de cesantía nacional, según sexo"
DF_NSOLICSC_TDCON,CL01,1.0,"Número de solicitudes aprobadas del seguro de cesantía nacional, según tipo de contrato"
DF_OCUCISE_CISE_EDAD,CL01,1.0,"Población ocupada según categoría ocupacional nacional y regional, según tramo etario"
DF_OCUCISE_CISE_SEXO,CL01,1.0,"Población ocupada según categoría ocupacional nacional y regional, según sexo"
DF_OCUCIUO_CIUO88_EDAD,CL01,1.0,"Población ocupada según grupo ocupacional nacional y regional, según tramo etario (CIUO-88)"
DF_OCUCIUO_CIUO88_SEXO,CL01,1.0,"Población ocupada según grupo ocupacional nacional y regional, según sexo (CIUO-88)"
DF_OCUCIUO_CIUO_EDAD,CL01,1.0,"Población ocupada según grupo ocupacional nacional y regional, según tramo etario (CIUO rev.08.cl)"
